one contains a death of someones mom	You can make arguments for something like Toy Story	0	4
one contains a death of someones mom	Land before Time has about 15 other movies in the franchise which make it popular, much like toy story	0	2
one contains a death of someones mom	Iron Giant doesn't really deal with much that's terribly dark or controversial	0	3
the other almost had an entire town nuked as well as a giant death machine moving through	CMV: I believe the Brave Little Toaster is an incredibly underrated movie	0	22
the other almost had an entire town nuked as well as a giant death machine moving through	The fact that it's underrated largely stems from the fact that by today's measure it's far from a children's movie, which unfortunately in western countries is generally the target demographic for animated features.	0	16
the other almost had an entire town nuked as well as a giant death machine moving through	I grew up watching the movie, and it doesn't bug me	0	8
the other almost had an entire town nuked as well as a giant death machine moving through	when the alternative is Adventure Time or My Little Pony, I'm likely to think that Brave Little Toaster isn't good viewing material for kids in 2014	0	7
the other almost had an entire town nuked as well as a giant death machine moving through	You can make arguments for something like Toy Story	0	5
the other almost had an entire town nuked as well as a giant death machine moving through	Land before Time has about 15 other movies in the franchise which make it popular, much like toy story	0	1
the other almost had an entire town nuked as well as a giant death machine moving through	Iron Giant doesn't really deal with much that's terribly dark or controversial	0	2
Land before Time has about 15 other movies in the franchise which make it popular, much like toy story	CMV: I believe the Brave Little Toaster is an incredibly underrated movie	0	23
Land before Time has about 15 other movies in the franchise which make it popular, much like toy story	There have been a great many "dark" animated movies and shows that grew to become extremely famous.	1	4
Land before Time has about 15 other movies in the franchise which make it popular, much like toy story	I personally believe Iron Giant to be the darker film because of the war undertone	0	2
Iron Giant doesn't really deal with much that's terribly dark or controversial	CMV: I believe the Brave Little Toaster is an incredibly underrated movie	0	24
Iron Giant doesn't really deal with much that's terribly dark or controversial	There have been a great many "dark" animated movies and shows that grew to become extremely famous.	1	5
Iron Giant doesn't really deal with much that's terribly dark or controversial	I personally believe Iron Giant to be the darker film because of the war undertone	0	1
I personally believe Iron Giant to be the darker film because of the war undertone	CMV: I believe the Brave Little Toaster is an incredibly underrated movie	0	25
I personally believe Iron Giant to be the darker film because of the war undertone	Land before Time has about 15 other movies in the franchise which make it popular, much like toy story	0	2
I personally believe Iron Giant to be the darker film because of the war undertone	Iron Giant doesn't really deal with much that's terribly dark or controversial	1	1
CMV: If you're able, European and subscribe even loosely to European values, you should be on the Ukrainian border, driving back Russians	Your original post had a very different tone to it however.	0	12
Feels to me as if Putin senses weakness in the Western world	Being able doesn't imply you are going to be helpful on that front.	0	7
with the US and Europe driven farther apart by issues like privacy and human rights,	Being able doesn't imply you are going to be helpful on that front.	0	6
the US withdrawing as a dominant force in geopolitics,	Being able doesn't imply you are going to be helpful on that front.	0	5
because people in and outside of the US are fed up with the US policing the world.	Being able doesn't imply you are going to be helpful on that front.	0	4
His territorial pissings seems to be meant to elbow some room for himself on the geopolitical stage, in other words gaining power.	Being able doesn't imply you are going to be helpful on that front.	0	3
